(2,2,29.765625)
(3,2,28.66796875)
(4,2,30.80078125)
(5,2,29.90625)
(6,2,32.15625)
(7,2,33.95703125)
(8,2,34.4453125)
(9,2,35.45703125)
(10,2,36.78515625)
(11,2,38.90625)
(12,2,41.25)
(13,2,43.04296875)
(14,2,45.6640625)
(15,2,47.453125)
(16,2,50.7421875)
(17,2,55.296875)
(18,2,56.57421875)
(19,2,59.890625)
(20,2,64.03515625)
(21,2,66.4453125)
(22,2,70.0234375)
(23,2,73.0390625)
(24,2,80.8515625)
(25,2,86.3203125)
(26,2,91.4765625)
(27,2,92.63671875)
(28,2,97.4375)
(29,2,102.8828125)
(30,2,108.12890625)
(31,2,111.1171875)
(32,2,117.13671875)
(33,2,122.0390625)
(34,2,138.62890625)
(35,2,144.6796875)
(36,2,148.14453125)
(37,2,158.07421875)
(38,2,162.1640625)
(39,2,169.01953125)
(40,2,175.23828125)
(41,2,183.62890625)
(42,2,186.328125)
(43,2,191.27734375)
(44,2,201.0625)
(45,2,205.26171875)
(46,2,210.55859375)
(47,2,219.92578125)
(48,2,225.86328125)
(49,2,254.73046875)
(50,2,268.6484375)
