2 30.613281
3 30.296875
4 30.914062
5 31.765625
6 32.171875
7 32.300781
8 33.710938
9 33.210938
10 33.347656
11 33.210938
12 35.207031
13 35.597656
14 35.472656
15 36.214844
16 37.898438
17 38.175781
18 38.710938
19 40.128906
20 40.679688
21 43.421875
22 44.191406
23 44.539062
24 46.171875
25 47.179688
26 48.632812
27 50.703125
28 51.363281
29 52.878906
30 55.667969
31 56.753906
32 58.808594
33 64.464844
34 66.046875
35 68.292969
36 71.292969
37 73.253906
38 75.476562
39 77.542969
40 81.464844
41 83.941406
42 86.148438
43 89.839844
44 93.777344
45 96.785156
46 105.046875
47 102.640625
48 107.191406
49 108.750000
50 115.257812
