2 0.877561
3 1.409699
4 2.234272
5 2.858616
6 3.784222
7 5.060092
8 6.499341
9 7.939724
10 9.602503
11 11.618706
12 14.656514
13 17.755535
14 21.554828
15 24.022745
16 29.354653
17 32.771995
18 36.019222
19 43.817527
20 54.115438
21 58.966577
22 72.598680
23 77.834412
24 89.407605
25 94.941334
26 111.672501
27 113.178554
28 140.031717
29 146.185166
30 182.337540
31 191.610323
32 222.690690
33 256.611021
34 276.708126
35 286.025474
36 302.863165
37 366.563173
38 404.203617
39 442.147766
40 472.692781
41 503.354349
42 592.247609
43 679.567183
44 697.117402
45 773.237407
46 861.799169
47 889.908410
48 915.630206
49 1026.645227
50 1052.331938
51 1129.048907
52 1408.106547
53 1281.974399
