2   0.002   0.001   9.652   22.8   0.003
3   0.002   0   9.93   23.18   0.002
4   0.008   0.002   10.89   24.18   0.01
5   0.085   0.001   10.98   24.14   0.086
6   0.082   0.001   11   24.16   0.083
7   0.141   0   10.89   24.05   0.141
8   0.282   0.003   11.71   24.86   0.285
9   1.111   0.004   14.89   28.04   1.115
10   6.137   0.002   22.89   36.17   6.139
11   47.43   0.005   46.95   60.23   47.43
12   1.395   0.004   11.48   24.77   1.399
13   1.419   0.003   11.51   24.79   1.422
14   2.897   0.008   12.95   26.36   2.905
15   3.12   0.005   15.65   29.06   3.125
16   4.108   0.005   21.15   34.56   4.113
17   8.585   0.007   40.48   53.89   8.592
18   10.1   0.017   63.1   76.51   10.12
19   23.73   0.018   104.3   117.7   23.75
20   85.99   0.054   190.4   203.9   86.04
21   313.6   0.053   362.5   376.2   313.7
22   1271   0.008   675   688.7   1271
