10   0.001   0.001   9.777   23.05   0.002
11   0.002   0.004   9.773   23.31   0.006
12   0.003   0.006   9.797   23.67   0.009
13   0.001   0.017   9.793   23.82   0.018
14   0.002   0.039   9.914   24.28   0.041
15   0.001   0.087   9.949   24.82   0.088
16   0.001   0.193   9.926   24.9   0.194
17   0.002   0.424   9.934   24.92   0.426
18   0.002   0.915   10.07   25.31   0.917
19   0.004   1.988   10.07   25.41   1.992
20   0.003   4.284   10.21   25.38   4.287
21   0   9.361   10.35   25.59   9.361
22   0.003   20.52   10.2   26.16   20.52
23   0.002   43.35   10.3   26.32   43.35
24   0.004   92.76   10.49   26.59   92.76
25   0.003   197.5   10.59   26.62   197.5
