1   0.002   0   9.512   22.66   0.002
2   0   0   9.512   22.66   0
3   0.001   0   9.512   22.66   0.001
4   0.001   0.001   9.613   22.77   0.002
5   0.001   0.001   9.629   22.91   0.002
6   0.002   0.002   9.641   23.02   0.004
7   0.001   0.007   9.641   23.26   0.008
8   0.001   0.016   9.762   23.39   0.017
9   0   0.038   9.781   23.43   0.038
10   0.001   0.085   9.773   23.55   0.086
11   0.001   0.193   9.77   23.71   0.194
12   0.002   0.433   9.793   23.97   0.435
13   0.002   0.964   9.789   23.96   0.966
14   0.001   2.147   9.91   24.09   2.148
15   0.002   4.731   9.945   24.07   4.733
16   0.002   10.45   9.953   24.2   10.45
17   0.002   22.61   9.93   24.3   22.61
18   0.002   50.58   10.06   24.57   50.58
19   0.003   107.8   10.06   24.7   107.8
20   0.003   232.2   10.2   24.81   232.2
21   0.004   495.4   10.35   24.96   495.4
22   0.004   1073   10.22   25.25   1073
