1   0   0.001   9.512   22.66   0.001
2   0   0   9.512   22.66   0
3   0.001   0   9.512   22.79   0.001
4   0.001   0.001   9.613   22.89   0.002
5   0   0.003   9.633   23.04   0.003
6   0.001   0.009   9.641   23.25   0.01
7   0   0.02   9.641   23.36   0.02
8   0.001   0.052   9.766   23.42   0.053
9   0.001   0.12   9.789   23.56   0.121
10   0   0.272   9.781   23.84   0.272
11   0.002   0.611   9.777   23.93   0.613
12   0.001   1.374   9.77   24.34   1.375
13   0.001   3.337   9.793   24.41   3.338
14   0.003   7.038   9.918   24.45   7.041
15   0   15.48   9.953   24.52   15.48
16   0.001   32.91   9.93   24.68   32.91
17   0.002   72.16   9.938   24.79   72.16
18   0.003   152.4   10.07   25.4   152.4
19   0.002   333.7   10.07   25.63   333.7
20   0.002   734   10.21   25.68   734
21   0.002   1581   10.32   25.83   1581
