(2,2,24.9453125)
(2,4,23.8828125)
(2,6,23.703125)
(2,8,24.98046875)
(2,10,24.8359375)
(2,12,24.91796875)
(2,14,25.2265625)
(2,16,26.0703125)
(2,18,25.93359375)
(2,20,27.328125)
(4,2,23.9140625)
(4,4,25.234375)
(4,6,25.0234375)
(4,8,27.27734375)
(4,10,29.77734375)
(4,12,32.92578125)
(4,14,35.92578125)
(4,16,39.78125)
(4,18,43.3359375)
(4,20,49.38671875)
(6,2,24.94921875)
(6,4,27.03515625)
(6,6,29.890625)
(6,8,35.92578125)
(6,10,41.2578125)
(6,12,49.046875)
(6,14,54.49609375)
(6,16,65.44921875)
(6,18,76.3203125)
(6,20,84.02734375)
(8,2,25.328125)
(8,4,30.578125)
(8,6,37.89453125)
(8,8,46.16015625)
(8,10,61.4453125)
(8,12,71.0859375)
(8,14,84.8203125)
(8,16,107.48828125)
(8,18,125.99609375)
(8,20,142.421875)
(10,2,26.95703125)
(10,4,37.01953125)
(10,6,51.7421875)
(10,8,65.03515625)
(10,10,82.9453125)
(10,12,117.609375)
(10,14,128.96875)
(10,16,168.6328125)
(10,18,191.53125)
(10,20,215.89453125)
(12,2,29.86328125)
(12,4,44.515625)
(12,6,65.70703125)
(12,8,90.625)
(12,10,124.71875)
(12,12,150.05859375)
(12,14,189.8828125)
(12,16,217.9921875)
(12,18,297.3515625)
(12,20,336.13671875)
(14,2,33.0859375)
(14,4,54.890625)
(14,6,89.5546875)
(14,8,121.6484375)
(14,10,153.89453125)
(14,12,210.78515625)
(14,14,252.34375)
(14,16,323.01953125)
(14,18,377.89453125)
(14,20,422.3828125)
(16,2,36.98828125)
(16,4,65.7421875)
(16,6,104.17578125)
(16,8,150.47265625)
(16,10,222.5625)
(16,12,266.2578125)
(16,14,338.49609375)
(16,16,398.515625)
(16,18,521.171875)
(16,20,579.015625)
(18,2,43.71875)
(18,4,84.63671875)
(18,6,136.3515625)
(18,8,204.0546875)
(18,10,260.53125)
(18,12,342.73828125)
(18,14,413.78125)
(18,16,546.4140625)
(18,18,624.328125)
(18,20,706.109375)
(20,2,47.14453125)
(20,4,94.03125)
(20,6,166.375)
(20,8,234.64453125)
(20,10,332.78125)
(20,12,415.71875)
(20,14,565.51953125)
(20,16,654.6328125)
(20,18,753.8125)
(20,20,938.97265625)
(2,2,23.7109375)
(2,2,25.20703125)
(2,5,25.203125)
(2,2,24.328125)
