(2,2,0.10206799999999999)
(2,4,0.226602)
(2,6,0.35208399999999995)
(2,8,0.48991399999999996)
(2,10,0.6223339999999999)
(2,12,0.7972349999999999)
(2,14,0.9791019999999999)
(2,16,1.229864)
(2,18,1.42371)
(2,20,1.7030889999999999)
(4,2,0.424493)
(4,4,0.948732)
(4,6,1.524533)
(4,8,2.2338780000000003)
(4,10,3.1666860000000003)
(4,12,4.149034)
(4,14,5.633842)
(4,16,6.977568)
(4,18,8.846132)
(4,20,11.122121)
(6,2,0.9760589999999999)
(6,4,2.2095160000000003)
(6,6,3.63719)
(6,8,5.545703)
(6,10,8.305117000000001)
(6,12,12.908323)
(6,14,16.631192000000002)
(6,16,22.727736999999998)
(6,18,28.964475)
(6,20,41.305044)
(8,2,1.8183259999999999)
(8,4,4.0452580000000005)
(8,6,7.385955)
(8,8,12.017989)
(8,10,19.545202999999997)
(8,12,28.101245)
(8,14,45.434398)
(8,16,69.276224)
(8,18,99.903507)
(8,20,110.68829699999999)
(10,2,2.848231)
(10,4,6.889759)
(10,6,13.220040000000001)
(10,8,22.788176)
(10,10,37.889131)
(10,12,68.919195)
(10,14,102.681356)
(10,16,163.758086)
(10,18,197.76342499999998)
(10,20,357.782077)
(12,2,4.2033190000000005)
(12,4,9.948844000000001)
(12,6,21.542075)
(12,8,56.725532)
(12,10,83.390202)
(12,12,136.25069100000002)
(12,14,182.037049)
(12,16,310.45384900000005)
(12,18,585.86348)
(12,20,590.611234)
(14,2,6.070988)
(14,4,16.248022)
(14,6,39.116524)
(14,8,83.771567)
(14,10,157.945492)
(14,12,264.27400900000004)
(14,14,420.402688)
(14,16,648.4276659999999)
(14,18,818.926603)
(14,20,1075.027804)
(16,2,7.554279)
(16,4,22.051052)
(16,6,57.270727)
(16,8,124.772359)
(16,10,307.387928)
(16,12,428.70768999999996)
(16,14,673.430847)
(16,16,1045.510076)
(16,18,1956.26349)
(16,20,1599.524667)
(18,2,9.503306)
(18,4,30.206544)
(18,6,90.633059)
(18,8,246.21323900000002)
(18,10,359.66055900000003)
(18,12,697.899287)
(18,14,1153.317865)
(18,16,1542.826703)
(18,18,2165.485455)
(18,20,2998.797627)
(20,2,12.152085)
(20,4,39.030987)
(20,6,174.76884800000002)
(20,8,299.275578)
(20,10,583.4288809999999)
(20,12,1157.581878)
(20,14,2155.3847960000003)
(20,16,2369.33066)
(20,18,3004.625029)
(20,20,4562.804035)
(2,2,0.101849)
(2,2,0.10391800000000001)
(2,5,0.281596)
(2,2,0.102486)
