(2,2,0.054519999999999985)
(2,4,0.354827)
(2,6,1.1460919999999999)
(2,8,2.5506759999999997)
(2,10,4.934551)
(2,12,8.64106)
(2,14,13.283948)
(2,16,19.427201)
(2,18,27.376486)
(2,20,37.196391)
(4,2,0.20943299999999998)
(4,4,1.431114)
(4,6,4.613182)
(4,8,10.435462000000001)
(4,10,19.659764)
(4,12,33.116163)
(4,14,53.075277)
(4,16,76.24887600000001)
(4,18,110.188715)
(4,20,148.63516)
(6,2,0.45857499999999995)
(6,4,3.229062)
(6,6,10.091458)
(6,8,22.600136000000003)
(6,10,44.123701000000004)
(6,12,75.34524)
(6,14,118.401953)
(6,16,176.291759)
(6,18,242.856081)
(6,20,341.841715)
(8,2,0.7843589999999999)
(8,4,5.65783)
(8,6,18.102676000000002)
(8,8,42.082593)
(8,10,78.315806)
(8,12,133.36523699999998)
(8,14,217.918335)
(8,16,318.14110999999997)
(8,18,448.320025)
(8,20,618.30039)
(10,2,1.25543)
(10,4,9.167066)
(10,6,28.663177)
(10,8,68.117341)
(10,10,126.83690800000001)
(10,12,212.455255)
(10,14,335.466334)
(10,16,493.86907)
(10,18,683.6048949999999)
(10,20,944.479912)
(12,2,1.8368069999999999)
(12,4,12.750900999999999)
(12,6,40.152637000000006)
(12,8,93.301741)
(12,10,177.521237)
(12,12,299.726631)
(12,14,474.499801)
(12,16,729.524784)
(12,18,1012.350559)
(12,20,1389.386652)
(14,2,2.5006769999999996)
(14,4,18.121582)
(14,6,55.231598000000005)
(14,8,127.045458)
(14,10,241.579853)
(14,12,415.37652799999995)
(14,14,670.990456)
(14,16,993.66643)
(14,18,1365.3112219999998)
(14,20,1904.6230409999998)
(16,2,3.065212)
(16,4,22.552958999999998)
(16,6,72.880623)
(16,8,163.69906200000003)
(16,10,319.787701)
(16,12,533.578319)
(16,14,868.893421)
(16,16,1259.9049160000002)
(16,18,1806.458551)
(16,20,2412.467513)
(18,2,3.93071)
(18,4,30.776753999999997)
(18,6,91.87231899999999)
(18,8,204.260635)
(18,10,401.430704)
(18,12,689.2725369999999)
(18,14,1093.035868)
(18,16,1577.999452)
(18,18,2267.18196)
(18,20,3034.166354)
(20,2,4.851229999999999)
(20,4,34.671031)
(20,6,114.095545)
(20,8,259.64426399999996)
(20,10,501.79533599999996)
(20,12,847.649677)
(20,14,1334.1593790000002)
(20,16,1970.551493)
(20,18,2785.1852240000003)
(20,20,3748.3115620000003)
