(2,2,23.9453125)
(2,4,24.8203125)
(2,6,24.515625)
(2,8,25.09375)
(2,10,23.7421875)
(2,12,25.21484375)
(2,14,25.81640625)
(2,16,27.82421875)
(2,18,30.015625)
(2,20,32.0078125)
(4,2,25.140625)
(4,4,24.69921875)
(4,6,25.2890625)
(4,8,27.5625)
(4,10,31.578125)
(4,12,37.46875)
(4,14,42.21875)
(4,16,54.1875)
(4,18,61.44921875)
(4,20,67.7890625)
(6,2,24.8984375)
(6,4,25.4453125)
(6,6,28.1640625)
(6,8,36.34765625)
(6,10,43.6171875)
(6,12,56.8046875)
(6,14,67.38671875)
(6,16,92.46484375)
(6,18,108.9765625)
(6,20,129.58984375)
(8,2,24.9609375)
(8,4,28.0078125)
(8,6,35.3828125)
(8,8,49.890625)
(8,10,60.9140625)
(8,12,86.8203125)
(8,14,112.48046875)
(8,16,151.6796875)
(8,18,177.2265625)
(8,20,218.125)
(10,2,23.85546875)
(10,4,29.39453125)
(10,6,41.20703125)
(10,8,59.6328125)
(10,10,89.0859375)
(10,12,117.66015625)
(10,14,145.39453125)
(10,16,212.546875)
(10,18,297.9375)
(10,20,350.8359375)
(12,2,23.87109375)
(12,4,34.44140625)
(12,6,50.98828125)
(12,8,83.39453125)
(12,10,114.50390625)
(12,12,161.75390625)
(12,14,218.46484375)
(12,16,303.609375)
(12,18,367.1875)
(12,20,447.86328125)
(14,2,25.51953125)
(14,4,38.26171875)
(14,6,60.9453125)
(14,8,105.02734375)
(14,10,160.4765625)
(14,12,211.46875)
(14,14,320.59765625)
(14,16,389.15625)
(14,18,573.86328125)
(14,20,624.078125)
(16,2,25.9609375)
(16,4,47.11328125)
(16,6,78.73046875)
(16,8,142.59375)
(16,10,188.72265625)
(16,12,303.9140625)
(16,14,375.03125)
(16,16,553.94140625)
(16,18,632.95703125)
(16,20,760.89453125)
(18,2,28.70703125)
(18,4,49.203125)
(18,6,91.59765625)
(18,8,154.87890625)
(18,10,271.91796875)
(18,12,336.89453125)
(18,14,537.96484375)
(18,16,622.2265625)
(18,18,788.37109375)
(18,20,1121.62890625)
(20,2,29.59765625)
(20,4,55.80078125)
(20,6,104.4296875)
(20,8,182.0390625)
(20,10,309.54296875)
(20,12,410.9140625)
(20,14,594.96875)
(20,16,735.25390625)
(20,18,1119.28515625)
(20,20,1229.5546875)
